Symbol,Company Name,Security Type,Security Price,Market Capitalization,Revenue (TTM),Sector,Industry,Sub-Industry,Company Headquarters Location
BRK/A,Berkshire Hathaway Inc,Common Stock,267954,--,327223,Financials,Diversified Financial Services,Multi-Sector Holdings,United States of America
BRK/B,Berkshire Hathaway Inc,Common Stock,178.34,$438.08B,327223,Financials,Diversified Financial Services,Multi-Sector Holdings,United States of America
AMZN,Amazon.com Inc,Common Stock,1906.59,$955.58B,280522,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,United States of America
AAPL,Apple Inc,Common Stock,241.41,$1.07T,267683,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",United States of America
CVS,CVS Health Corp,Common Stock,55.72,$72.14B,256776,Health Care,Health Care Providers & Services,Health Care Services,United States of America
XOM,Exxon Mobil Corp,Common Stock,39.21,$171.05B,255583,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,United States of America
UNH,Unitedhealth Group Inc,Common Stock,229.49,$227.94B,242155,Health Care,Health Care Providers & Services,Managed Health Care,United States of America
MCK,McKesson Corp,Common Stock,125.49,$22.86B,224945,Health Care,Health Care Providers & Services,Health Care Distributors,United States of America
ABC,AmerisourceBergen Corp,Common Stock,81.34,$17.26B,182061.411,Health Care,Health Care Providers & Services,Health Care Distributors,United States of America
T,AT&T Inc,Common Stock,27.46,$208.64B,181265,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,United States of America
GOOGL,Alphabet Inc,Common Stock,1092.69,$768.89B,161857,Communication Services,Interactive Media & Services,Interactive Media & Services,United States of America
GOOG,Alphabet Inc,Common Stock,1097.88,$771.51B,161857,Communication Services,Interactive Media & Services,Interactive Media & Services,United States of America
COST,Costco Wholesale Corp,Common Stock,288.65,$128.72B,158350,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers,United States of America
F,Ford Motor Co,Common Stock,4.24,$17.29B,155900,Consumer Discretionary,Automobiles,Automobile Manufacturers,United States of America
CI,Cigna Corp,Common Stock,163.84,$62.89B,153699,Health Care,Health Care Providers & Services,Health Care Services,United States of America
CAH,Cardinal Health Inc,Common Stock,46.61,$13.55B,149657,Health Care,Health Care Providers & Services,Health Care Distributors,United States of America
JPM,JPMorgan Chase & Co,Common Stock,84.05,$269.88B,142422,Financials,Banks,Diversified Banks,United States of America
CVX,Chevron Corp,Common Stock,75.11,$143.27B,139865,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,United States of America
WBA,Walgreens Boots Alliance Inc,Common Stock,40.72,$35.81B,138705,Consumer Staples,Food & Staples Retailing,Drug Retail,United States of America
GM,General Motors Co,Common Stock,18.04,$25.47B,137237,Consumer Discretionary,Automobiles,Automobile Manufacturers,United States of America
MSFT,Microsoft Corp,Common Stock,153.83,$1.18T,134249,Information Technology,Software,Systems Software,United States of America
VZ,Verizon Communications Inc,Common Stock,54.7,$228.50B,131868,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,United States of America
MPC,Marathon Petroleum Corp,Common Stock,20.06,$13.77B,123949,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,United States of America
FNMA,Federal National Mortgage Association,Common Stock,1.4,$8.41B,122518,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,United States of America
KR,Kroger Co. (The),Common Stock,32.29,$24.90B,122286,Consumer Staples,Food & Staples Retailing,Food Retail,United States of America
BAC,Bank of America Corp,Common Stock,20.03,$181.76B,113589,Financials,Banks,Diversified Banks,United States of America
HD,Home Depot Inc. (The),Common Stock,178.7,$195.27B,110225,Consumer Discretionary,Specialty Retail,Home Improvement Retail,United States of America
CMCSA,Comcast Corp,Common Stock,33.95,$156.49B,108942,Communication Services,Media,Cable & Satellite,United States of America
PSX,Phillips 66,Common Stock,51.62,$22.81B,107293,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,United States of America
ANTM,Anthem Inc,Common Stock,203.3,$53.47B,104213,Health Care,Health Care Providers & Services,Managed Health Care,United States of America
C,Citigroup Inc,Common Stock,37.49,$82.94B,103449,Financials,Banks,Diversified Banks,United States of America
VLO,Valero Energy Corp,Common Stock,40.34,$16.99B,102729,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,United States of America
WFC,Wells Fargo & Co,Common Stock,26.23,$112.54B,102453,Financials,Banks,Diversified Banks,United States of America
GE,General Electric Co,Common Stock,6.73,$60.30B,95214,Industrials,Industrial Conglomerates,Industrial Conglomerates,United States of America
DELL,Dell Technologies Inc,Common Stock,36.44,$27.08B,92154,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",United States of America
BA,Boeing Co,Common Stock,124.52,$69.39B,84818,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
JNJ,Johnson & Johnson,Common Stock,134.17,$350.52B,82059,Health Care,Pharmaceuticals,Pharmaceuticals,United States of America
TGT,Target Corp,Common Stock,92.57,$47.58B,78112,Consumer Discretionary,Multiline Retail,General Merchandise Stores,United States of America
IBM,International Business Machines Corp,Common Stock,106.34,$97.58B,77147,Information Technology,IT Services,IT Consulting & Other Services,United States of America
UTX,United Technologies Corp,Common Stock,86.01,$74.34B,77046,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
DIS,Walt Disney Co (The),Common Stock,93.88,$173.19B,75125,Communication Services,Entertainment,Movies & Entertainment,United States of America
FMCC,Freddie Mac,Common Stock,1.29,$4.23B,74924,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,United States of America
CNC,Centene Corp,Common Stock,54.6,$23.39B,74639,Health Care,Health Care Providers & Services,Managed Health Care,United States of America
UPS,United Parcel Service Inc,Common Stock,90,$79.70B,74094,Industrials,Air Freight & Logistics,Air Freight & Logistics,United States of America
LOW,Lowe's Cos Inc,Common Stock,82.2,$63.22B,72148,Consumer Discretionary,Specialty Retail,Home Improvement Retail,United States of America
INTC,Intel Corp,Common Stock,54.13,$233.16B,71965,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,United States of America
FB,Facebook Inc,Common Stock,154.18,$451.16B,70697,Communication Services,Interactive Media & Services,Interactive Media & Services,United States of America
MET,Metlife Inc.,Common Stock,27.72,$25.68B,69744,Financials,Insurance,Life & Health Insurance,United States of America
FDX,FedEx Corp.,Common Stock,109.22,$30.47B,69666,Industrials,Air Freight & Logistics,Air Freight & Logistics,United States of America
PG,Procter & Gamble Co (The),Common Stock,115.08,$282.51B,69594,Consumer Staples,Household Products,Household Products,United States of America
PEP,PepsiCo Inc,Common Stock,124.59,$172.29B,67161,Consumer Staples,Beverages,Soft Drinks,United States of America
HUM,Humana Inc.,Common Stock,291.63,$39.65B,64888,Health Care,Health Care Providers & Services,Managed Health Care,United States of America
PRU,Prudential Financial Inc,Common Stock,46.09,$18.60B,64845,Financials,Insurance,Life & Health Insurance,United States of America
ADM,Archer-Daniels-Midland Co,Common Stock,34.65,$19.12B,64656,Consumer Staples,Food Products,Agricultural Products,United States of America
SYY,Sysco Corporation,Common Stock,39.5,$21.01B,60460.983,Consumer Staples,Food & Staples Retailing,Food Distributors,United States of America
LMT,Lockheed Martin Corp,Common Stock,350.5,$99.11B,59812,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
HPQ,HP Inc,Common Stock,14.48,$22.20B,58664,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",United States of America
ET,Energy Transfer LP,Unit Trust Fund,5.47,$14.04B,54213,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
GS,Goldman Sachs Group Inc (The),Common Stock,146.93,$54.24B,53922,Financials,Capital Markets,Investment Banking & Brokerage,United States of America
MS,Morgan Stanley,Common Stock,33.85,$54.04B,53823,Financials,Capital Markets,Investment Banking & Brokerage,United States of America
CAT,Caterpillar Inc,Common Stock,114.67,$64.22B,53800,Industrials,Machinery,Construction Machinery & Heavy Trucks,United States of America
PFE,Pfizer Inc,Common Stock,33.64,$181.90B,51750,Health Care,Pharmaceuticals,Pharmaceuticals,United States of America
CSCO,Cisco Systems Inc,Common Stock,39.06,$168.79B,51550,Information Technology,Communications Equipment,Communications Equipment,United States of America
HCA,HCA Healthcare Inc,Common Stock,81.83,$28.40B,51336,Health Care,Health Care Providers & Services,Health Care Facilities,United States of America
AIG,American International Group Inc,Common Stock,20.46,$18.49B,49310,Financials,Insurance,Multi-line Insurance,United States of America
AXP,American Express Co,Common Stock,73.6,$62.09B,47020,Financials,Consumer Finance,Consumer Finance,United States of America
DAL,Delta Air Lines Inc,Common Stock,22.48,$14.58B,47007,Industrials,Airlines,Airlines,United States of America
